score,score_pruned,decision_node_cnt,decision_node_cnt_pruned,stop_criteria
0.93,0.79,2225,2126,Pruned_2
1,1,2415,2291,Pruned_2
0.81,0.87,2474,2416,Pruned_2
0.78,0.91,2521,2458,Pruned_2
0.85,0.94,2579,2526,Pruned_2
0.8,0.93,2225,2126,Pruned_2
1,1,2415,2291,Pruned_2
0.83,0.72,2474,2416,Pruned_2
1,0.97,2521,2458,Pruned_2
0.91,0.91,2579,2526,Pruned_2
0.87,0.88,2225,2126,Pruned_2
1,1,2415,2291,Pruned_2
0.88,0.78,2474,2416,Pruned_2
0.99,0.97,2521,2458,Pruned_2
0.81,0.92,2579,2526,Pruned_2
0.91,0.83,2225,2062,Pruned_3
1,1,2415,2187,Pruned_3
0.84,0.77,2474,2352,Pruned_3
0.92,0.96,2521,2399,Pruned_3
1,1,2579,2445,Pruned_3
0.79,0.8,2225,2062,Pruned_3
1,1,2415,2187,Pruned_3
0.96,0.81,2474,2352,Pruned_3
0.94,0.94,2521,2399,Pruned_3
0.93,0.94,2579,2445,Pruned_3
0.81,0.85,2225,2062,Pruned_3
1,1,2415,2187,Pruned_3
0.77,0.81,2474,2352,Pruned_3
0.92,0.99,2521,2399,Pruned_3
1,0.96,2579,2445,Pruned_3
0.92,0.84,2225,2052,Pruned_4
1,0.98,2415,2135,Pruned_4
0.9,0.76,2474,2252,Pruned_4
0.83,0.89,2521,2293,Pruned_4
0.98,1,2579,2345,Pruned_4
0.84,0.86,2225,2052,Pruned_4
1,1,2415,2135,Pruned_4
0.83,0.74,2474,2252,Pruned_4
0.87,0.94,2521,2293,Pruned_4
0.98,1,2579,2345,Pruned_4
0.8,0.72,2225,2052,Pruned_4
1,1,2415,2135,Pruned_4
0.8,0.68,2474,2252,Pruned_4
0.83,1,2521,2293,Pruned_4
0.92,0.96,2579,2345,Pruned_4
0.9,0.86,2225,1977,Pruned_5
1,1,2415,2095,Pruned_5
0.83,0.84,2474,2242,Pruned_5
0.89,0.89,2521,2284,Pruned_5
0.97,1,2579,2284,Pruned_5
0.88,0.93,2225,1977,Pruned_5
0.9,1,2415,2095,Pruned_5
0.76,0.77,2474,2242,Pruned_5
0.97,0.94,2521,2284,Pruned_5
0.94,0.88,2579,2284,Pruned_5
0.86,0.91,2225,1977,Pruned_5
1,0.95,2415,2095,Pruned_5
0.75,0.76,2474,2242,Pruned_5
0.88,0.78,2521,2284,Pruned_5
