score,score_pruned,decision_node_cnt,decision_node_cnt_pruned,stop_criteria
0.57,0.57,18,16,Pruned_2
0.54,0.54,18,16,Pruned_2
0.59,0.59,17,15,Pruned_2
0.55,0.55,17,15,Pruned_2
0.54,0.54,18,16,Pruned_2
0.57,0.57,18,16,Pruned_2
0.54,0.54,18,16,Pruned_2
0.59,0.59,17,15,Pruned_2
0.55,0.55,17,15,Pruned_2
0.54,0.54,18,16,Pruned_2
0.57,0.57,18,16,Pruned_2
0.54,0.54,18,16,Pruned_2
0.59,0.59,17,15,Pruned_2
0.55,0.55,17,15,Pruned_2
0.54,0.54,18,16,Pruned_2
0.57,0.57,18,15,Pruned_3
0.54,0.54,18,15,Pruned_3
0.59,0.59,17,14,Pruned_3
0.55,0.55,17,14,Pruned_3
0.54,0.54,18,15,Pruned_3
0.57,0.57,18,15,Pruned_3
0.54,0.54,18,15,Pruned_3
0.59,0.59,17,14,Pruned_3
0.55,0.55,17,14,Pruned_3
0.54,0.54,18,15,Pruned_3
0.57,0.57,18,15,Pruned_3
0.54,0.54,18,15,Pruned_3
0.59,0.59,17,14,Pruned_3
0.55,0.55,17,14,Pruned_3
0.54,0.54,18,15,Pruned_3
0.57,0.57,18,14,Pruned_4
0.54,0.54,18,14,Pruned_4
0.59,0.59,17,13,Pruned_4
0.55,0.55,17,13,Pruned_4
0.54,0.54,18,14,Pruned_4
0.57,0.57,18,14,Pruned_4
0.54,0.54,18,14,Pruned_4
0.59,0.59,17,13,Pruned_4
0.55,0.55,17,13,Pruned_4
0.54,0.54,18,14,Pruned_4
0.57,0.57,18,14,Pruned_4
0.54,0.54,18,14,Pruned_4
0.59,0.59,17,13,Pruned_4
0.55,0.55,17,13,Pruned_4
0.54,0.54,18,14,Pruned_4
0.57,0.57,18,13,Pruned_5
0.54,0.54,18,13,Pruned_5
0.59,0.59,17,12,Pruned_5
0.55,0.55,17,12,Pruned_5
0.54,0.54,18,13,Pruned_5
0.57,0.57,18,13,Pruned_5
0.54,0.54,18,13,Pruned_5
0.59,0.59,17,12,Pruned_5
0.55,0.55,17,12,Pruned_5
0.54,0.54,18,13,Pruned_5
0.57,0.57,18,13,Pruned_5
0.54,0.54,18,13,Pruned_5
0.59,0.59,17,12,Pruned_5
0.55,0.55,17,12,Pruned_5
