score,inference_time,decision_node_cnt,stop_criteria
0.244,0.219,5,2_Decision_Nodes
0.362,0.219,5,2_Decision_Nodes
0.171,0.015,30,2_Decision_Nodes
0.199,0.015,30,2_Decision_Nodes
0.118,0.016,31,2_Decision_Nodes
5.645,0.015,12,4_Decision_Nodes
0.276,0.079,11,4_Decision_Nodes
0.204,0.016,38,4_Decision_Nodes
0.212,0.016,33,4_Decision_Nodes
0.175,0.009,36,4_Decision_Nodes
5.646,0.015,12,6_Decision_Nodes
0.276,0.047,11,6_Decision_Nodes
0.203,0.016,38,6_Decision_Nodes
0.212,0.016,33,6_Decision_Nodes
0.175,0.009,36,8_Decision_Nodes
5.646,0.016,12,8_Decision_Nodes
0.276,0.062,11,8_Decision_Nodes
0.203,0.016,38,8_Decision_Nodes
0.212,0.016,33,8_Decision_Nodes
0.175,0.016,36,8_Decision_Nodes
5.651,0.016,12,10_Decision_Nodes
0.279,0.046,11,10_Decision_Nodes
0.203,0.016,38,10_Decision_Nodes
0.212,0.016,33,10_Decision_Nodes
0.175,0.016,36,10_Decision_Nodes
5.657,0.016,12,12_Decision_Nodes
0.284,0.063,11,12_Decision_Nodes
0.203,0.016,38,12_Decision_Nodes
0.212,0.016,33,12_Decision_Nodes
0.175,0.016,36,12_Decision_Nodes
5.662,0.016,12,14_Decision_Nodes
0.287,0.047,11,14_Decision_Nodes
0.203,0.016,38,14_Decision_Nodes
0.212,0.016,33,14_Decision_Nodes
0.175,0.016,36,14_Decision_Nodes
5.667,0.016,12,16_Decision_Nodes
0.290,0.047,11,16_Decision_Nodes
0.203,0.007,38,16_Decision_Nodes
0.212,0.016,33,16_Decision_Nodes
0.175,0.016,36,16_Decision_Nodes
5.671,0.016,12,18_Decision_Nodes
0.293,0.062,11,18_Decision_Nodes
0.203,0.016,38,18_Decision_Nodes
0.212,0.016,33,18_Decision_Nodes
0.175,0.016,36,18_Decision_Nodes
5.674,0.016,12,20_Decision_Nodes
0.296,0.047,11,20_Decision_Nodes
0.203,0.016,38,20_Decision_Nodes
0.212,0.016,33,20_Decision_Nodes
0.175,0.016,36,20_Decision_Nodes
