score,score_pruned,decision_node_cnt,decision_node_cnt_pruned,stop_criteria
0.51,0.51,94,90,Pruned_2
0.95,0.95,52,48,Pruned_2
0.57,0.57,94,90,Pruned_2
0.51,0.51,94,90,Pruned_2
0.57,0.57,110,104,Pruned_2
0.51,0.51,94,90,Pruned_2
0.95,0.95,52,48,Pruned_2
0.57,0.57,94,90,Pruned_2
0.51,0.51,94,90,Pruned_2
0.57,0.57,110,104,Pruned_2
0.51,0.51,94,90,Pruned_2
0.95,0.95,52,48,Pruned_2
0.57,0.57,94,90,Pruned_2
0.51,0.51,94,90,Pruned_2
0.57,0.57,110,104,Pruned_2
0.51,0.51,94,88,Pruned_3
0.95,0.95,52,45,Pruned_3
0.57,0.57,94,88,Pruned_3
0.51,0.51,94,88,Pruned_3
0.57,0.57,110,100,Pruned_3
0.51,0.51,94,88,Pruned_3
0.95,0.95,52,45,Pruned_3
0.57,0.57,94,88,Pruned_3
0.51,0.51,94,88,Pruned_3
0.57,0.57,110,100,Pruned_3
0.51,0.51,94,88,Pruned_3
0.95,0.95,52,45,Pruned_3
0.57,0.57,94,88,Pruned_3
0.51,0.51,94,88,Pruned_3
0.57,0.57,110,100,Pruned_3
0.51,0.51,94,86,Pruned_4
0.95,0.95,52,43,Pruned_4
0.57,0.57,94,86,Pruned_4
0.51,0.51,94,86,Pruned_4
0.57,0.57,110,98,Pruned_4
0.51,0.51,94,86,Pruned_4
0.95,0.95,52,43,Pruned_4
0.57,0.57,94,86,Pruned_4
0.51,0.51,94,86,Pruned_4
0.57,0.57,110,98,Pruned_4
0.51,0.51,94,86,Pruned_4
0.95,0.95,52,43,Pruned_4
0.57,0.57,94,86,Pruned_4
0.51,0.51,94,86,Pruned_4
0.57,0.57,110,98,Pruned_4
0.51,0.51,94,84,Pruned_5
0.95,0.95,52,41,Pruned_5
0.57,0.57,94,84,Pruned_5
0.51,0.51,94,84,Pruned_5
0.57,0.57,110,94,Pruned_5
0.51,0.51,94,84,Pruned_5
0.95,0.95,52,41,Pruned_5
0.57,0.57,94,84,Pruned_5
0.51,0.51,94,84,Pruned_5
0.57,0.57,110,94,Pruned_5
0.51,0.51,94,84,Pruned_5
0.95,0.95,52,41,Pruned_5
0.57,0.57,94,84,Pruned_5
0.51,0.51,94,84,Pruned_5
0.57,0.57,110,94,Pruned_5
