testset,dataset,score,decision_node_cnt,stop_criteria
0,machine,0.266747788,23,2
1,machine,0.347154394,22,2
2,machine,0.107678212,22,2
3,machine,1.959285,22,2
4,machine,0.951161212,24,2
0,machine,0.562366273,25,4
1,machine,0.399548485,25,4
2,machine,0.318895,25,4
3,machine,2.276605879,23,4
4,machine,0.949672606,25,4
0,machine,0.680628061,25,6
1,machine,0.458236697,27,6
2,machine,0.461857061,26,6
3,machine,2.460472,24,6
4,machine,0.957672364,25,6
0,machine,0.717103758,25,8
1,machine,0.457754303,27,8
2,machine,0.465362606,26,8
3,machine,2.574017909,25,8
4,machine,0.959367303,26,8
0,machine,0.716341667,25,10
1,machine,0.457527606,27,10
2,machine,0.46537697,26,10
3,machine,2.574024848,25,10
4,machine,0.95940497,26,10
0,machine,0.716349333,27,12
1,machine,0.457527606,27,12
2,machine,0.465406061,28,12
3,machine,2.574024848,27,12
4,machine,0.959445727,28,12
0,machine,0.716357061,27,14
1,machine,0.457527606,27,14
2,machine,0.465406061,28,14
3,machine,2.574024848,27,14
4,machine,0.959464606,28,14
0,machine,0.716364848,27,16
1,machine,0.457527606,27,16
2,machine,0.465406061,28,16
3,machine,2.574024848,27,16
4,machine,0.959464606,28,16
0,machine,0.716364848,27,18
1,machine,0.457527606,27,18
2,machine,0.465406061,28,18
3,machine,2.574024848,27,18
4,machine,0.959147485,29,18
0,machine,0.716364848,28,20
1,machine,0.457527606,27,20
2,machine,0.465406061,29,20
3,machine,2.575077909,29,20
4,machine,0.959147485,30,20
